comparison_id	modality	assay	comparison_role	manuscript_scope	sample_ids	design_formula	contrast_column	numerator_level	denominator_level	covariates	lfc_threshold	use_ihw	aggregate_transcripts	status	notes
rna_main_all_controls	RNA_seq	RNA	primary	main_text	ctrl10high,ctrl10low,ctrl14high,ctrl14low,ctrl7high,ctrl7low,NRX1Ihigh,NRX1Ilow,NRX1IIhigh,NRX1IIlow,NRX1IIIhigh,NRX1IIIlow	~ sex + genotype_group	genotype_group	patient	control	sex	1	TRUE	TRUE	active	Primary RNA comparison used for the main manuscript analyses
rna_supp_female_only	RNA_seq	RNA	supplement	supplement	ctrl14high,ctrl14low,NRX1Ihigh,NRX1Ilow,NRX1IIhigh,NRX1IIlow,NRX1IIIhigh,NRX1IIIlow	~ genotype_group	genotype_group	patient	control	none	1	TRUE	TRUE	active	Sex-matched RNA comparison used for supplementary replication
rna_density_controls	RNA_seq	RNA	supplement	supplement	ctrl7high,ctrl7low,ctrl10high,ctrl10low,ctrl14high,ctrl14low	~ sex + density	density	high	low	sex	1	TRUE	TRUE	active	Within-control RNA density comparison used to assess seeding-density effects
rna_density_patient	RNA_seq	RNA	supplement	supplement	NRX1Ihigh,NRX1Ilow,NRX1IIhigh,NRX1IIlow,NRX1IIIhigh,NRX1IIIlow	~ density	density	high	low	none	1	TRUE	TRUE	active	Within-patient RNA density comparison used to assess seeding-density effects
atac_main_local_controls	ATAC_seq	ATAC	primary	main_text	ctrl10high,ctrl10low,ctrl14high,ctrl14low,PIhigh,PIlow,PIIhigh,PIIlow	~ genotype_group	genotype_group	patient	control	none	0	TRUE	FALSE	active	Main ATAC comparison using the local control set available for chromatin accessibility
atac_supp_female_only	ATAC_seq	ATAC	supplement	supplement	ctrl14high,ctrl14low,PIhigh,PIlow,PIIhigh,PIIlow	~ genotype_group	genotype_group	patient	control	none	0	TRUE	FALSE	active	Sex-matched ATAC comparison used for supplementary replication
chip_main_all_controls	ChIP_seq	H3K27me3	primary	main_text	C10HK27ME,C10LK27ME,C14HK27ME3,C14LK27ME,NRX1HK27ME3,NRX1LK27ME3,NRXHK27ME3,NRXLK27ME3	~ genotype_group	genotype_group	patient	control	none	0	TRUE	FALSE	active	Main H3K27me3 comparison using two control lines at two seeding densities
chip_supp_female_only	ChIP_seq	H3K27me3	supplement	supplement	C14HK27ME3,C14LK27ME,NRX1HK27ME3,NRX1LK27ME3,NRXHK27ME3,NRXLK27ME3	~ genotype_group	genotype_group	patient	control	none	0	TRUE	FALSE	active	Sex-matched H3K27me3 comparison used for supplementary confirmation
